Id,Name,Price,Amount,Weight,Description
6,Каліфорнія з вугрем в кунжуті,199,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, омлет, огірок, кунжут, соус унагі, норі"
7,Каліфорнія з крабовим міксом в кунжуті,129,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, авокадо, огірок, кунжут, норі"
8,Каліфорнія Чікен,139,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, омлет, огірок, кунжут, соус горіховий унагі, норі"
9,Каліфорнія з креветкою в кунжуті,179,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка, омлет, огірок, кунжут, соус унагі, норі"
1,Сет Гурман,699,880,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія з лососем, Кранч з креветкою, Каліфорнія з лососем в кунжуті, Макі з тунцем. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
2,Сет Сенсей,549,1080,г,"🔥Отримуйте 5% КЕШБЕК🔥 Каліфорнія темпура, Темпура рол з куркою, Запечений з крабовим міксом, Ніжний з куркою. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
3,Сет Банзай,599,1010,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія дует, Футомакі з лососем (гострий), Каліфорнія з крабовим міксом в кунжуті, Каліфорнія Чікен Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
4,Сет Сакура,749,1120,г,"🔥Отримуйте 5% КЕШБЕК🔥 У ПОДАРУНОК: Макі з креветкою🎁 Філадельфія з лососем, Каліфорнія з вугрем в кунжуті, Фелікс рол з тунцем, Каліфорнія Чікен. Соєвий соус - 150 мл (3 шт). Імбир - 40 г. Васабі - 10 г."
5,Сет Джуманджі,899,1440,г,"🔥Отримуйте 5% КЕШБЕК🔥 У ПОДАРУНОК: Торі Рол (гострий)🎁 Філадельфія з лососем, Філадельфія з креветкою в кунжуті, Ніжний з куркою, Запечений з лососем (гострий), Макі з креветкою. Соєвий соус - 150 мл (3 шт). Імбир - 40 г. Васабі - 10 г."
6,Сет Кіото,1149,2000,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія дует, Каліфорнія з лососем в кунжуті, Кранч з креветкою, Макі з тунцем, Ніжний з куркою, Запечений з крабовим міксом, Каліфорнія темпура, Темпура рол з куркою. Соєвий соус - 200 мл (4 шт). Імбир - 50 г. Васабі - 15 г."
7,Сет Сімейний,1599,2310,г,"🔥Отримуйте 5% КЕШБЕК🔥 У ПОДАРУНОК: Темпура рол з куркою🎁 Філадельфія з лососем, Філадельфія з креветкою, Каліфорнія з крабовим міксом в кунжуті, Каліфорнія темпура, Кранч з креветкою, Макі з лососем, Макі з креветкою, Фелікс рол з тунцем, Ніжний з куркою. Соєвий соус - 250 мл (5 шт). Імбир - 60 г. Васабі - 15 г."
8,Сет Імператорський,1999,3000,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія дует, Філадельфія з вугрем, Філадельфія з креветкою, Філадельфія з креветкою в кунжуті, Каліфорнія з крабовим міксом в ікрі, Каліфорнія з вугрем в кунжуті, Каліфорнія з крабовим міксом в кунжуті, Роял Рол, Кранч з креветкою, Каліфорнія з креветкою в кунжуті, Торі Рол (гострий), Філадельфія з копченим лососем в кунжуті. Соєвий соус - 300 мл (6 шт). Імбир - 70 г. Васабі - 20 г."
9,Комбо Тепла двійка,289,550,г,"🔥Отримуйте 5% КЕШБЕК🔥 Ніжний з лососем, Запечений з крабовим міксом зі знижкою 50%. Соєвий соус - 50 мл (1 шт). Імбир - 10 г. Васабі - 5 г."
10,Комбо Філадельфія Мікс,404,540,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рол з лососем та огірком, Філадельфія з креветкою зі знижкою 50%. Соєвий соус - 50 мл (1 шт). Імбир - 10 г. Васабі - 5 г."
11,Комбо Мега Фіш,478,620,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія з лососем, Каліфорнія з копченим лососем в кунжуті. 🎁 У ПОДАРУНОК: Макі з лососем. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 5 г."
12,Комбо Три легенди,438,680,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія з лососем, Запечений з крабовим міксом. 🎁 У ПОДАРУНОК: Макі з креветкою. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 5 г."
13,Філадельфія з лососем,279,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, крем сир, авокадо, огірок, норі"
14,Каліфорнія з лососем в ікрі,259,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, ікра тобіко, норі"
15,Кранч з креветкою,249,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, ікра тобіко, кляр темпура, огірок, соус унагі, норі"
16,Ніжний з вугрем,249,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, сирний соус, салат айсберг, крем сир, соус унагі, норі"
